year,industry_code_ANZSIC,industry_name_ANZSIC,rme_size_grp,variable,value,unit
2011,M,"Professional, Scientific and Technical Services",a_0,Operating profit before tax,1272,DOLLARS(millions)
2011,M,"Professional, Scientific and Technical Services",b_1-5,Operating profit before tax,682,DOLLARS(millions)
2011,M,"Professional, Scientific and Technical Services",c_6-9,Operating profit before tax,255,DOLLARS(millions)
2011,M,"Professional, Scientific and Technical Services",d_10-19,Operating profit before tax,420,DOLLARS(millions)
2011,M,"Professional, Scientific and Technical Services",e_20-49,Operating profit before tax,692,DOLLARS(millions)
2011,M,"Professional, Scientific and Technical Services",f_50-99,Operating profit before tax,258,DOLLARS(millions)
2011,M,"Professional, Scientific and Technical Services",g_100-199,Operating profit before tax,143,DOLLARS(millions)
2011,M,"Professional, Scientific and Technical Services",h_200+,Operating profit before tax,1189,DOLLARS(millions)
2011,M,"Professional, Scientific and Technical Services",i_Industry_Total,Operating profit before tax,4912,DOLLARS(millions)
2011,N,Administrative and Support Services,a_0,Operating profit before tax,175,DOLLARS(millions)
2011,N,Administrative and Support Services,b_1-5,Operating profit before tax,91,DOLLARS(millions)
2011,N,Administrative and Support Services,c_6-9,Operating profit before tax,34,DOLLARS(millions)
2011,N,Administrative and Support Services,d_10-19,Operating profit before tax,36,DOLLARS(millions)
2011,N,Administrative and Support Services,e_20-49,Operating profit before tax,49,DOLLARS(millions)
2011,N,Administrative and Support Services,f_50-99,Operating profit before tax,33,DOLLARS(millions)
2011,N,Administrative and Support Services,g_100-199,Operating profit before tax,22,DOLLARS(millions)
2011,N,Administrative and Support Services,h_200+,Operating profit before tax,78,DOLLARS(millions)
2011,N,Administrative and Support Services,i_Industry_Total,Operating profit before tax,517,DOLLARS(millions)
2011,O,Public Administration and Safety,a_0,Operating profit before tax,7,DOLLARS(millions)
2011,O,Public Administration and Safety,b_1-5,Operating profit before tax,6,DOLLARS(millions)
2011,O,Public Administration and Safety,c_6-9,Operating profit before tax,4,DOLLARS(millions)
2011,O,Public Administration and Safety,d_10-19,Operating profit before tax,3,DOLLARS(millions)
2011,O,Public Administration and Safety,e_20-49,Operating profit before tax,3,DOLLARS(millions)
2011,O,Public Administration and Safety,f_50-99,Operating profit before tax,-6,DOLLARS(millions)
2011,O,Public Administration and Safety,g_100-199,Operating profit before tax,9,DOLLARS(millions)
2011,O,Public Administration and Safety,h_200+,Operating profit before tax,12,DOLLARS(millions)
2011,O,Public Administration and Safety,i_Industry_Total,Operating profit before tax,38,DOLLARS(millions)
2011,P,Education and Training,a_0,Operating profit before tax,38,DOLLARS(millions)
2011,P,Education and Training,b_1-5,Operating profit before tax,6,DOLLARS(millions)
2011,P,Education and Training,c_6-9,Operating profit before tax,1,DOLLARS(millions)
2011,P,Education and Training,d_10-19,Operating profit before tax,25,DOLLARS(millions)
2011,P,Education and Training,e_20-49,Operating profit before tax,47,DOLLARS(millions)
2011,P,Education and Training,f_50-99,Operating profit before tax,26,DOLLARS(millions)
2011,P,Education and Training,g_100-199,Operating profit before tax,6,DOLLARS(millions)
2011,P,Education and Training,h_200+,Operating profit before tax,31,DOLLARS(millions)
2011,P,Education and Training,i_Industry_Total,Operating profit before tax,180,DOLLARS(millions)
2011,Q,Health Care and Social Assistance,a_0,Operating profit before tax,515,DOLLARS(millions)
2011,Q,Health Care and Social Assistance,b_1-5,Operating profit before tax,468,DOLLARS(millions)
2011,Q,Health Care and Social Assistance,c_6-9,Operating profit before tax,115,DOLLARS(millions)
2011,Q,Health Care and Social Assistance,d_10-19,Operating profit before tax,127,DOLLARS(millions)
2011,Q,Health Care and Social Assistance,e_20-49,Operating profit before tax,132,DOLLARS(millions)
2011,Q,Health Care and Social Assistance,f_50-99,Operating profit before tax,105,DOLLARS(millions)
2011,Q,Health Care and Social Assistance,g_100-199,Operating profit before tax,93,DOLLARS(millions)
2011,Q,Health Care and Social Assistance,h_200+,Operating profit before tax,173,DOLLARS(millions)
2011,Q,Health Care and Social Assistance,i_Industry_Total,Operating profit before tax,1730,DOLLARS(millions)
2011,R,Arts and Recreation Services,a_0,Operating profit before tax,123,DOLLARS(millions)
2011,R,Arts and Recreation Services,b_1-5,Operating profit before tax,36,DOLLARS(millions)
2011,R,Arts and Recreation Services,d_10-19,Operating profit before tax,11,DOLLARS(millions)
2011,R,Arts and Recreation Services,e_20-49,Operating profit before tax,20,DOLLARS(millions)
2011,R,Arts and Recreation Services,f_50-99,Operating profit before tax,22,DOLLARS(millions)
2011,R,Arts and Recreation Services,h_200+,Operating profit before tax,267,DOLLARS(millions)
2011,R,Arts and Recreation Services,i_Industry_Total,Operating profit before tax,684,DOLLARS(millions)
2011,S,Other Services,a_0,Operating profit before tax,175,DOLLARS(millions)
2011,S,Other Services,b_1-5,Operating profit before tax,196,DOLLARS(millions)
2011,S,Other Services,c_6-9,Operating profit before tax,64,DOLLARS(millions)
2011,S,Other Services,d_10-19,Operating profit before tax,32,DOLLARS(millions)
2011,S,Other Services,e_20-49,Operating profit before tax,-3,DOLLARS(millions)
2011,S,Other Services,f_50-99,Operating profit before tax,37,DOLLARS(millions)
2011,S,Other Services,g_100-199,Operating profit before tax,20,DOLLARS(millions)
2011,S,Other Services,h_200+,Operating profit before tax,-4,DOLLARS(millions)
2011,S,Other Services,i_Industry_Total,Operating profit before tax,517,DOLLARS(millions)
2011,all,All Industries,j_Grand_Total,Operating profit before tax,46348,DOLLARS(millions)
2012,A,"Agriculture, Forestry and Fishing",a_0,Operating profit before tax,1316,DOLLARS(millions)
2012,A,"Agriculture, Forestry and Fishing",b_1-5,Operating profit before tax,1344,DOLLARS(millions)
2012,A,"Agriculture, Forestry and Fishing",c_6-9,Operating profit before tax,268,DOLLARS(millions)
2012,A,"Agriculture, Forestry and Fishing",d_10-19,Operating profit before tax,151,DOLLARS(millions)
2012,A,"Agriculture, Forestry and Fishing",e_20-49,Operating profit before tax,60,DOLLARS(millions)
2012,A,"Agriculture, Forestry and Fishing",f_50-99,Operating profit before tax,38,DOLLARS(millions)
2012,A,"Agriculture, Forestry and Fishing",g_100-199,Operating profit before tax,34,DOLLARS(millions)
2012,A,"Agriculture, Forestry and Fishing",h_200+,Operating profit before tax,46,DOLLARS(millions)
2012,A,"Agriculture, Forestry and Fishing",i_Industry_Total,Operating profit before tax,3258,DOLLARS(millions)
2012,B,Mining,a_0,Operating profit before tax,608,DOLLARS(millions)
2012,B,Mining,b_1-5,Operating profit before tax,65,DOLLARS(millions)
2012,B,Mining,c_6-9,Operating profit before tax,-23,DOLLARS(millions)
2012,B,Mining,e_20-49,Operating profit before tax,262,DOLLARS(millions)
2012,B,Mining,g_100-199,Operating profit before tax,73,DOLLARS(millions)
2012,B,Mining,h_200+,Operating profit before tax,218,DOLLARS(millions)
2012,B,Mining,i_Industry_Total,Operating profit before tax,1874,DOLLARS(millions)
2012,C,Manufacturing,a_0,Operating profit before tax,166,DOLLARS(millions)
2012,C,Manufacturing,b_1-5,Operating profit before tax,186,DOLLARS(millions)
2012,C,Manufacturing,c_6-9,Operating profit before tax,87,DOLLARS(millions)
2012,C,Manufacturing,d_10-19,Operating profit before tax,204,DOLLARS(millions)
2012,C,Manufacturing,e_20-49,Operating profit before tax,474,DOLLARS(millions)
2012,C,Manufacturing,f_50-99,Operating profit before tax,430,DOLLARS(millions)
2012,C,Manufacturing,g_100-199,Operating profit before tax,707,DOLLARS(millions)
2012,C,Manufacturing,h_200+,Operating profit before tax,1636,DOLLARS(millions)
2012,C,Manufacturing,i_Industry_Total,Operating profit before tax,3890,DOLLARS(millions)
2012,D,"Electricity, Gas, Water and Waste Services",a_0,Operating profit before tax,361,DOLLARS(millions)
2012,D,"Electricity, Gas, Water and Waste Services",b_1-5,Operating profit before tax,45,DOLLARS(millions)
2012,D,"Electricity, Gas, Water and Waste Services",c_6-9,Operating profit before tax,16,DOLLARS(millions)
2012,D,"Electricity, Gas, Water and Waste Services",d_10-19,Operating profit before tax,29,DOLLARS(millions)
2012,D,"Electricity, Gas, Water and Waste Services",e_20-49,Operating profit before tax,64,DOLLARS(millions)
2012,D,"Electricity, Gas, Water and Waste Services",f_50-99,Operating profit before tax,91,DOLLARS(millions)
2012,D,"Electricity, Gas, Water and Waste Services",g_100-199,Operating profit before tax,93,DOLLARS(millions)
2012,D,"Electricity, Gas, Water and Waste Services",h_200+,Operating profit before tax,1543,DOLLARS(millions)
2012,D,"Electricity, Gas, Water and Waste Services",i_Industry_Total,Operating profit before tax,2243,DOLLARS(millions)
2012,E,Construction,a_0,Operating profit before tax,512,DOLLARS(millions)
2012,E,Construction,b_1-5,Operating profit before tax,545,DOLLARS(millions)
2012,E,Construction,c_6-9,Operating profit before tax,134,DOLLARS(millions)
2012,E,Construction,d_10-19,Operating profit before tax,123,DOLLARS(millions)
2012,E,Construction,e_20-49,Operating profit before tax,139,DOLLARS(millions)
2012,E,Construction,f_50-99,Operating profit before tax,142,DOLLARS(millions)
2012,E,Construction,g_100-199,Operating profit before tax,90,DOLLARS(millions)
2012,E,Construction,h_200+,Operating profit before tax,299,DOLLARS(millions)
2012,E,Construction,i_Industry_Total,Operating profit before tax,1983,DOLLARS(millions)
2012,F,Wholesale Trade,a_0,Operating profit before tax,219,DOLLARS(millions)
2012,F,Wholesale Trade,b_1-5,Operating profit before tax,422,DOLLARS(millions)
2012,F,Wholesale Trade,c_6-9,Operating profit before tax,216,DOLLARS(millions)
2012,F,Wholesale Trade,d_10-19,Operating profit before tax,351,DOLLARS(millions)
2012,F,Wholesale Trade,e_20-49,Operating profit before tax,587,DOLLARS(millions)
2012,F,Wholesale Trade,f_50-99,Operating profit before tax,418,DOLLARS(millions)
2012,F,Wholesale Trade,g_100-199,Operating profit before tax,381,DOLLARS(millions)
2012,F,Wholesale Trade,h_200+,Operating profit before tax,534,DOLLARS(millions)
2012,F,Wholesale Trade,i_Industry_Total,Operating profit before tax,3127,DOLLARS(millions)
2012,G,Retail Trade,a_0,Operating profit before tax,124,DOLLARS(millions)
2012,G,Retail Trade,b_1-5,Operating profit before tax,242,DOLLARS(millions)
2012,G,Retail Trade,c_6-9,Operating profit before tax,116,DOLLARS(millions)
2012,G,Retail Trade,d_10-19,Operating profit before tax,182,DOLLARS(millions)
2012,G,Retail Trade,e_20-49,Operating profit before tax,111,DOLLARS(millions)
2012,G,Retail Trade,f_50-99,Operating profit before tax,68,DOLLARS(millions)
2012,G,Retail Trade,g_100-199,Operating profit before tax,181,DOLLARS(millions)
2012,G,Retail Trade,h_200+,Operating profit before tax,837,DOLLARS(millions)
2012,G,Retail Trade,i_Industry_Total,Operating profit before tax,1861,DOLLARS(millions)
2012,H,Accommodation and Food Services,a_0,Operating profit before tax,45,DOLLARS(millions)
2012,H,Accommodation and Food Services,b_1-5,Operating profit before tax,34,DOLLARS(millions)
2012,H,Accommodation and Food Services,c_6-9,Operating profit before tax,16,DOLLARS(millions)
2012,H,Accommodation and Food Services,d_10-19,Operating profit before tax,32,DOLLARS(millions)
2012,H,Accommodation and Food Services,e_20-49,Operating profit before tax,66,DOLLARS(millions)
2012,H,Accommodation and Food Services,f_50-99,Operating profit before tax,65,DOLLARS(millions)
2012,H,Accommodation and Food Services,g_100-199,Operating profit before tax,75,DOLLARS(millions)
2012,H,Accommodation and Food Services,h_200+,Operating profit before tax,128,DOLLARS(millions)
2012,H,Accommodation and Food Services,i_Industry_Total,Operating profit before tax,462,DOLLARS(millions)
2012,I,"Transport, Postal and Warehousing",a_0,Operating profit before tax,293,DOLLARS(millions)
2012,I,"Transport, Postal and Warehousing",b_1-5,Operating profit before tax,99,DOLLARS(millions)
2012,I,"Transport, Postal and Warehousing",c_6-9,Operating profit before tax,32,DOLLARS(millions)
2012,I,"Transport, Postal and Warehousing",d_10-19,Operating profit before tax,77,DOLLARS(millions)
2012,I,"Transport, Postal and Warehousing",e_20-49,Operating profit before tax,179,DOLLARS(millions)
2012,I,"Transport, Postal and Warehousing",f_50-99,Operating profit before tax,109,DOLLARS(millions)
2012,I,"Transport, Postal and Warehousing",g_100-199,Operating profit before tax,237,DOLLARS(millions)
2012,I,"Transport, Postal and Warehousing",h_200+,Operating profit before tax,775,DOLLARS(millions)
2012,I,"Transport, Postal and Warehousing",i_Industry_Total,Operating profit before tax,1803,DOLLARS(millions)
2012,J,Information Media and Telecommunications,a_0,Operating profit before tax,495,DOLLARS(millions)
2012,J,Information Media and Telecommunications,b_1-5,Operating profit before tax,53,DOLLARS(millions)
2012,J,Information Media and Telecommunications,c_6-9,Operating profit before tax,47,DOLLARS(millions)
2012,J,Information Media and Telecommunications,d_10-19,Operating profit before tax,37,DOLLARS(millions)
2012,J,Information Media and Telecommunications,e_20-49,Operating profit before tax,1,DOLLARS(millions)
2012,J,Information Media and Telecommunications,f_50-99,Operating profit before tax,18,DOLLARS(millions)
2012,J,Information Media and Telecommunications,g_100-199,Operating profit before tax,38,DOLLARS(millions)
2012,J,Information Media and Telecommunications,h_200+,Operating profit before tax,445,DOLLARS(millions)
2012,J,Information Media and Telecommunications,i_Industry_Total,Operating profit before tax,1134,DOLLARS(millions)
2012,K,Financial and Insurance Services,a_0,Operating profit before tax,18464,DOLLARS(millions)
2012,K,Financial and Insurance Services,b_1-5,Operating profit before tax,1193,DOLLARS(millions)
2012,K,Financial and Insurance Services,d_10-19,Operating profit before tax,168,DOLLARS(millions)
2012,K,Financial and Insurance Services,e_20-49,Operating profit before tax,203,DOLLARS(millions)
2012,K,Financial and Insurance Services,h_200+,Operating profit before tax,4606,DOLLARS(millions)
2012,K,Financial and Insurance Services,i_Industry_Total,Operating profit before tax,29998,DOLLARS(millions)
2012,L,"Rental, Hiring and Real Estate Services",a_0,Operating profit before tax,4342,DOLLARS(millions)
2012,L,"Rental, Hiring and Real Estate Services",b_1-5,Operating profit before tax,417,DOLLARS(millions)
2012,L,"Rental, Hiring and Real Estate Services",c_6-9,Operating profit before tax,68,DOLLARS(millions)
2012,L,"Rental, Hiring and Real Estate Services",d_10-19,Operating profit before tax,115,DOLLARS(millions)
2012,L,"Rental, Hiring and Real Estate Services",e_20-49,Operating profit before tax,45,DOLLARS(millions)
2012,L,"Rental, Hiring and Real Estate Services",f_50-99,Operating profit before tax,54,DOLLARS(millions)
2012,L,"Rental, Hiring and Real Estate Services",g_100-199,Operating profit before tax,64,DOLLARS(millions)
2012,L,"Rental, Hiring and Real Estate Services",h_200+,Operating profit before tax,72,DOLLARS(millions)
2012,L,"Rental, Hiring and Real Estate Services",i_Industry_Total,Operating profit before tax,5178,DOLLARS(millions)
2012,M,"Professional, Scientific and Technical Services",a_0,Operating profit before tax,1347,DOLLARS(millions)
2012,M,"Professional, Scientific and Technical Services",b_1-5,Operating profit before tax,617,DOLLARS(millions)
2012,M,"Professional, Scientific and Technical Services",c_6-9,Operating profit before tax,264,DOLLARS(millions)
2012,M,"Professional, Scientific and Technical Services",d_10-19,Operating profit before tax,428,DOLLARS(millions)
2012,M,"Professional, Scientific and Technical Services",e_20-49,Operating profit before tax,549,DOLLARS(millions)
2012,M,"Professional, Scientific and Technical Services",f_50-99,Operating profit before tax,246,DOLLARS(millions)
2012,M,"Professional, Scientific and Technical Services",g_100-199,Operating profit before tax,143,DOLLARS(millions)
2012,M,"Professional, Scientific and Technical Services",h_200+,Operating profit before tax,636,DOLLARS(millions)
2012,M,"Professional, Scientific and Technical Services",i_Industry_Total,Operating profit before tax,4230,DOLLARS(millions)
2012,N,Administrative and Support Services,a_0,Operating profit before tax,195,DOLLARS(millions)
2012,N,Administrative and Support Services,b_1-5,Operating profit before tax,104,DOLLARS(millions)
2012,N,Administrative and Support Services,c_6-9,Operating profit before tax,34,DOLLARS(millions)
2012,N,Administrative and Support Services,d_10-19,Operating profit before tax,44,DOLLARS(millions)
2012,N,Administrative and Support Services,e_20-49,Operating profit before tax,84,DOLLARS(millions)
2012,N,Administrative and Support Services,f_50-99,Operating profit before tax,13,DOLLARS(millions)
2012,N,Administrative and Support Services,g_100-199,Operating profit before tax,24,DOLLARS(millions)
2012,N,Administrative and Support Services,h_200+,Operating profit before tax,153,DOLLARS(millions)
2012,N,Administrative and Support Services,i_Industry_Total,Operating profit before tax,650,DOLLARS(millions)
2012,O,Public Administration and Safety,a_0,Operating profit before tax,11,DOLLARS(millions)
2012,O,Public Administration and Safety,b_1-5,Operating profit before tax,6,DOLLARS(millions)
2012,O,Public Administration and Safety,c_6-9,Operating profit before tax,5,DOLLARS(millions)
2012,O,Public Administration and Safety,d_10-19,Operating profit before tax,6,DOLLARS(millions)
2012,O,Public Administration and Safety,e_20-49,Operating profit before tax,5,DOLLARS(millions)
2012,O,Public Administration and Safety,h_200+,Operating profit before tax,9,DOLLARS(millions)
2012,O,Public Administration and Safety,i_Industry_Total,Operating profit before tax,51,DOLLARS(millions)
2012,P,Education and Training,a_0,Operating profit before tax,39,DOLLARS(millions)
2012,P,Education and Training,b_1-5,Operating profit before tax,0,DOLLARS(millions)
2012,P,Education and Training,c_6-9,Operating profit before tax,0,DOLLARS(millions)
2012,P,Education and Training,d_10-19,Operating profit before tax,27,DOLLARS(millions)
2012,P,Education and Training,e_20-49,Operating profit before tax,16,DOLLARS(millions)
2012,P,Education and Training,f_50-99,Operating profit before tax,15,DOLLARS(millions)
2012,P,Education and Training,g_100-199,Operating profit before tax,36,DOLLARS(millions)
2012,P,Education and Training,h_200+,Operating profit before tax,29,DOLLARS(millions)
2012,P,Education and Training,i_Industry_Total,Operating profit before tax,164,DOLLARS(millions)
2012,Q,Health Care and Social Assistance,a_0,Operating profit before tax,575,DOLLARS(millions)
2012,Q,Health Care and Social Assistance,b_1-5,Operating profit before tax,490,DOLLARS(millions)
2012,Q,Health Care and Social Assistance,c_6-9,Operating profit before tax,90,DOLLARS(millions)
2012,Q,Health Care and Social Assistance,d_10-19,Operating profit before tax,23,DOLLARS(millions)
2012,Q,Health Care and Social Assistance,e_20-49,Operating profit before tax,145,DOLLARS(millions)
2012,Q,Health Care and Social Assistance,f_50-99,Operating profit before tax,58,DOLLARS(millions)
2012,Q,Health Care and Social Assistance,g_100-199,Operating profit before tax,113,DOLLARS(millions)
2012,Q,Health Care and Social Assistance,h_200+,Operating profit before tax,152,DOLLARS(millions)
2012,Q,Health Care and Social Assistance,i_Industry_Total,Operating profit before tax,1646,DOLLARS(millions)
2012,R,Arts and Recreation Services,a_0,Operating profit before tax,80,DOLLARS(millions)
